codigo_cid,capitulo_cid
B55,Moléstias Infecciosas
B550,Moléstias Infecciosas
B551,Moléstias Infecciosas
B552,Moléstias Infecciosas
B559,Moléstias Infecciosas
B56,Moléstias Infecciosas
B560,Moléstias Infecciosas
B561,Moléstias Infecciosas
B569,Moléstias Infecciosas
B57,Moléstias Infecciosas
B570,Moléstias Infecciosas
B571,Moléstias Infecciosas
B572,Moléstias Infecciosas
B573,Moléstias Infecciosas
B574,Moléstias Infecciosas
B575,Moléstias Infecciosas
B58,Moléstias Infecciosas
B580,Moléstias Infecciosas
B581,Moléstias Infecciosas
B582,Moléstias Infecciosas
B583,Moléstias Infecciosas
B588,Moléstias Infecciosas
B589,Moléstias Infecciosas
B59,Moléstias Infecciosas
B60,Moléstias Infecciosas
B600,Moléstias Infecciosas
B601,Moléstias Infecciosas
B602,Moléstias Infecciosas
B608,Moléstias Infecciosas
B64,Moléstias Infecciosas
B65,Moléstias Infecciosas
B650,Moléstias Infecciosas
B651,Moléstias Infecciosas
B652,Moléstias Infecciosas
B653,Moléstias Infecciosas
B658,Moléstias Infecciosas
B659,Moléstias Infecciosas
B66,Moléstias Infecciosas
B660,Moléstias Infecciosas
B661,Moléstias Infecciosas
B662,Moléstias Infecciosas
B663,Moléstias Infecciosas
B664,Moléstias Infecciosas
B665,Moléstias Infecciosas
B668,Moléstias Infecciosas
B669,Moléstias Infecciosas
B67,Moléstias Infecciosas
B670,Moléstias Infecciosas
B671,Moléstias Infecciosas
B672,Moléstias Infecciosas
B673,Moléstias Infecciosas
B674,Moléstias Infecciosas
B675,Moléstias Infecciosas
B676,Moléstias Infecciosas
B677,Moléstias Infecciosas
B678,Moléstias Infecciosas
B679,Moléstias Infecciosas
B68,Moléstias Infecciosas
B680,Moléstias Infecciosas
B681,Moléstias Infecciosas
B689,Moléstias Infecciosas
B69,Moléstias Infecciosas
B690,Moléstias Infecciosas
B691,Moléstias Infecciosas
B698,Moléstias Infecciosas
B699,Moléstias Infecciosas
B70,Moléstias Infecciosas
B700,Moléstias Infecciosas
B701,Moléstias Infecciosas
B71,Moléstias Infecciosas
B710,Moléstias Infecciosas
B711,Moléstias Infecciosas
B718,Moléstias Infecciosas
B719,Moléstias Infecciosas
B72,Moléstias Infecciosas
B73,Moléstias Infecciosas
B74,Moléstias Infecciosas
B740,Moléstias Infecciosas
B741,Moléstias Infecciosas
B742,Moléstias Infecciosas
B743,Moléstias Infecciosas
B744,Moléstias Infecciosas
B748,Moléstias Infecciosas
B749,Moléstias Infecciosas
B75,Moléstias Infecciosas
B76,Moléstias Infecciosas
B760,Moléstias Infecciosas
B761,Moléstias Infecciosas
B768,Moléstias Infecciosas
B769,Moléstias Infecciosas
B77,Moléstias Infecciosas
B770,Moléstias Infecciosas
B778,Moléstias Infecciosas
B779,Moléstias Infecciosas
B78,Moléstias Infecciosas
B780,Moléstias Infecciosas
B781,Moléstias Infecciosas
B787,Moléstias Infecciosas
B789,Moléstias Infecciosas
B79,Moléstias Infecciosas
B80,Moléstias Infecciosas
B81,Moléstias Infecciosas
B810,Moléstias Infecciosas
B811,Moléstias Infecciosas
B812,Moléstias Infecciosas
B813,Moléstias Infecciosas
B814,Moléstias Infecciosas
B818,Moléstias Infecciosas
B82,Moléstias Infecciosas
B820,Moléstias Infecciosas
B829,Moléstias Infecciosas
B83,Moléstias Infecciosas
B830,Moléstias Infecciosas
B831,Moléstias Infecciosas
B832,Moléstias Infecciosas
B833,Moléstias Infecciosas
B834,Moléstias Infecciosas
B838,Moléstias Infecciosas
B839,Moléstias Infecciosas
B85,Moléstias Infecciosas
B850,Moléstias Infecciosas
B851,Moléstias Infecciosas
B852,Moléstias Infecciosas
B853,Moléstias Infecciosas
B854,Moléstias Infecciosas
B86,Moléstias Infecciosas
B87,Moléstias Infecciosas
B870,Moléstias Infecciosas
B871,Moléstias Infecciosas
B872,Moléstias Infecciosas
B873,Moléstias Infecciosas
B874,Moléstias Infecciosas
B878,Moléstias Infecciosas
B879,Moléstias Infecciosas
B88,Moléstias Infecciosas
B880,Moléstias Infecciosas
B881,Moléstias Infecciosas
B882,Moléstias Infecciosas
B883,Moléstias Infecciosas
B888,Moléstias Infecciosas
B889,Moléstias Infecciosas
B89,Moléstias Infecciosas
